DMA,Area,Number Of Household Properties,Number Of Non-Household Properties
9,E4,7,6
26,S1,442,6
30,N2,416,6
160,S4,543,6
218,W1,472,6
344,S2,754,6
345,W4,598,6
384,E2,440,6
430,W4,946,6
512,E1,1409,6
513,W3,938,6
575,E3,30,6
763,E4,52,6
806,W1,48,6
881,W2,722,6
932,S1,548,6
990,W2,588,6
1059,S1,34,6
1102,S5,54,6
1117,W2,713,6
1132,W5,188,6
1149,W5,411,6
1177,N3,1080,6
1279,S3,870,6
1302,S4,640,6
1366,E3,508,6
1390,S2,822,6
1461,W5,289,6
1520,E5,53,6
1544,N1,157,6
1614,N5,83,6
1808,E5,615,6
1824,E4,24,6
1862,W2,417,6
2003,S3,31,6
2036,W5,365,6
2094,S3,807,6
2241,S3,1369,6
2283,S1,736,6
2328,S4,1160,6
2339,N1,43,6
2400,E1,60,6
2411,W1,255,6
108,S2,18,7
177,W1,35,7
178,N2,420,7
315,E5,1510,7
320,N3,281,7
599,S2,542,7
608,S4,495,7
685,W5,464,7
761,S1,854,7
1106,W2,917,7
1173,N2,218,7
1197,S5,118,7
1224,S4,864,7
1296,W2,360,7
1466,S5,49,7
1476,W5,698,7
1640,W5,390,7
1755,S3,11,7
1814,S1,406,7
1855,E3,64,7
2064,S5,508,7
2090,W1,26,7
2253,S5,817,7
2299,W2,643,7
2360,N1,1055,7
71,N1,76,8
140,N3,78,8
274,W5,413,8
317,S4,711,8
371,S2,358,8
382,E5,406,8
393,N1,34,8
412,W4,168,8
432,E2,1218,8
556,N4,906,8
590,E2,391,8
601,E3,81,8
622,S5,65,8
676,N5,434,8
683,N1,29,8
887,S2,1217,8
906,E5,1090,8
953,N5,783,8
954,W5,116,8
1014,W5,620,8
1178,N2,367,8
1324,N2,192,8
1336,N1,35,8
1349,S1,130,8
1371,W1,10,8
1397,N2,439,8
1405,S3,1380,8
1410,W3,461,8
1469,E4,24,8
1539,N3,268,8
1680,N1,835,8
1714,N3,552,8
1726,E5,594,8
1743,N5,374,8
1751,N2,613,8
1775,N5,364,8
1804,S3,46,8
1884,W3,998,8
1885,N4,210,8
1904,N2,703,8
1920,E3,111,8
1933,N2,451,8
1964,N3,699,8
2029,N2,1014,8
2030,N2,543,8
2067,N3,568,8
2125,E4,332,8
2248,W1,669,8
2312,S1,98,8
2336,W5,214,8
2404,S5,156,8
55,E2,370,9
66,W2,1092,9
187,N2,233,9
364,W4,960,9
424,N2,1246,9
498,N2,322,9
746,N2,421,9
846,S4,549,9
878,S1,112,9
892,S5,1070,9
1158,S3,598,9
1210,W3,37,9
1228,N2,932,9
1246,N1,956,9
1255,S1,85,9
1278,N2,835,9
1428,W5,494,9
1551,W5,169,9
1674,E1,949,9
1694,N4,1508,9
1719,S2,51,9
1737,N4,711,9
1896,S4,786,9
2040,E3,818,9
2083,N2,791,9
2097,E5,1267,9
2110,E1,1799,9
2151,E4,45,9
2152,N1,168,9
2162,N2,532,9
2269,S5,73,9
2272,W5,362,9
2282,N3,807,9
2307,E2,1113,9
2379,E5,779,9
2381,N1,152,9
78,N3,1526,10
96,E5,480,10
153,W1,590,10
228,S2,806,10
232,S5,952,10
303,E3,1351,10
588,W2,613,10
616,E4,13,10
756,S1,79,10
800,E2,432,10
813,E2,23,10
832,N3,1484,10
943,W3,633,10
982,E3,1008,10
1037,N2,365,10
1129,W5,389,10
1258,W4,518,10
1334,N4,1151,10
1378,W5,61,10
1427,W1,547,10
1733,N3,185,10
1759,N1,343,10
1765,N3,712,10
1771,N2,786,10
1830,W1,466,10
1867,W4,263,10
1924,S4,879,10
1982,S2,273,10
2017,N3,110,10
2074,W5,147,10
2116,N5,410,10
2145,E3,111,10
2157,W4,444,10
2213,N2,910,10
2247,W5,1308,10
2316,N2,835,10
2371,S5,850,10
2380,N5,292,10
2429,W5,95,10
32,W5,675,11
119,N3,395,11
414,N2,683,11
511,E5,715,11
546,N1,63,11
576,N2,604,11
675,N5,1251,11
731,N1,199,11
825,N2,1169,11
840,W5,1446,11
868,N2,660,11
898,N4,252,11
959,W3,1094,11
1001,E5,848,11
1024,E1,730,11
1138,E5,503,11
1147,W1,97,11
1212,N1,97,11
1225,W4,1304,11
1243,W4,696,11
1256,E3,40,11
1271,W2,1066,11
1312,N3,183,11
1368,N3,1142,11
1445,N3,64,11
1564,N3,1042,11
1626,S1,903,11
1692,N4,1215,11
1901,W2,606,11
1910,W5,946,11
1995,W4,169,11
2007,N3,1385,11
2059,E4,964,11
2078,S5,1072,11
2089,E3,650,11
2127,N3,1064,11
2185,S1,957,11
2219,W3,950,11
2227,N2,947,11
2231,S4,706,11
2260,E1,903,11
2264,W4,399,11
2345,W3,662,11
8,E4,274,12
15,N3,1210,12
109,E1,28,12
334,N2,681,12
336,S4,546,12
423,S3,1405,12
503,S3,1166,12
579,E4,55,12
614,S4,720,12
817,W4,229,12
826,N3,350,12
869,E5,902,12
980,E5,1618,12
1061,N4,207,12
1098,E4,114,12
1108,S1,51,12
1166,E3,24,12
1170,W5,59,12
1175,E4,34,12
1211,W4,423,12
1217,S3,588,12
1300,S3,1195,12
1362,E4,17,12
1404,N4,938,12
1462,S2,590,12
1470,N1,411,12
1509,S5,672,12
1518,E3,496,12
1595,S1,878,12
1599,W4,684,12
1744,S1,148,12
1890,E3,22,12
1899,W1,67,12
1943,E4,40,12
2024,E1,335,12
2129,W1,734,12
2202,N2,61,12
2223,N2,496,12
2306,S1,556,12
2426,N1,177,12
34,E4,13,13
46,N3,10,13
255,N5,750,13
325,E3,109,13
331,S5,1279,13
402,W4,704,13
409,W5,910,13
436,N5,1199,13
636,N2,670,13
639,W1,681,13
664,N4,640,13
679,E5,70,13
689,E3,1526,13
692,W2,692,13
699,E5,1322,13
764,W2,799,13
795,N3,1072,13
809,E1,661,13
823,S3,1189,13
864,N5,520,13
893,N3,330,13
904,W5,545,13
933,W5,458,13
1038,N3,324,13
1091,N4,444,13
1099,E1,181,13
1270,W1,63,13
1583,S1,17,13
1664,W3,922,13
1731,N3,806,13
1794,S1,335,13
1826,E2,404,13
1846,N3,615,13
1865,N1,157,13
1888,N3,694,13
1959,W1,64,13
2121,E3,142,13
2150,E4,14,13
2233,W1,122,13
2262,S1,521,13
2287,N3,405,13
2331,W1,23,13
2407,N5,356,13
53,W1,26,14
72,W4,376,14
74,W3,452,14
118,W2,674,14
147,S4,1439,14
214,S2,530,14
239,E3,13,14
326,N3,1111,14
487,S4,1401,14
551,E3,433,14
629,N3,753,14
741,N1,13,14
777,E1,25,14
785,S3,120,14
854,W3,851,14
908,N2,205,14
912,W5,120,14
1053,W4,142,14
1070,N3,220,14
1079,N1,284,14
1093,N1,26,14
1095,S3,703,14
1113,W5,107,14
1148,S2,742,14
1234,W5,226,14
1250,W5,346,14
1393,E2,1179,14
1413,S1,1030,14
1419,S3,86,14
1436,N3,1270,14
1438,N3,734,14
1449,E3,355,14
1460,S1,226,14
1465,E4,159,14
1517,S4,1103,14
1577,N3,554,14
1703,S5,987,14
1742,S4,131,14
1749,W1,740,14
1750,E4,101,14
1859,S3,80,14
1861,W5,38,14
1870,W1,792,14
1886,E5,71,14
1969,N2,893,14
1997,N2,631,14
2004,W1,212,14
2058,W4,585,14
2118,W2,535,14
2144,N3,139,14
2183,E4,220,14
