DMA,Sector,Household,Non-household,,,
25,HD9 2,29,6,,,
65,BD17 5,846,6,,,
155,S73 0,106,6,,,
160,S12 2,543,6,,,
204,LS3 1,158,6,,,
218,BD20 9,474,6,,,
222,YO16 6,381,6,,,
232,S25 4,731,6,,,
246,HG1 3,188,6,,,
247,LS26 8,232,6,,,
255,WF6 1,654,6,,,
281,BD5 0,84,6,,,
344,S71 1,744,6,,,
371,WF9 4,172,6,,,
372,BD20 8,220,6,,,
419,S35 7,74,6,,,
441,HD4 7,336,6,,,
451,S8 0,55,6,,,
455,BD23 6,27,6,,,
489,YO8 8,97,6,,,
492,S66 7,43,6,,,
503,S5 9,501,6,,,
513,BD4 0,930,6,,,
561,DN2 6,650,6,,,
563,WF8 3,337,6,,,
565,YO32 4,212,6,,,
590,YO43 3,391,6,,,
641,YO42 1,28,6,,,
676,WF2 7,360,6,,,
749,WF4 6,345,6,,,
751,YO41 5,43,6,,,
753,YO7 1,29,6,,,
761,DN12 2,844,6,,,
775,S11 8,366,6,,,
840,HD3 4,556,6,,,
846,S35 0,538,6,,,
881,BD7 4,722,6,,,
924,YO12 6,22,6,,,
932,DN11 0,553,6,,,
933,HD8 0,182,6,,,
990,BD6 1,573,6,,,
992,BD19 6,65,6,,,
992,HD6 4,291,6,,,
1022,S26 4,222,6,,,
1085,YO18 8,23,6,,,
1117,BD5 9,665,6,,,
1132,HD7 5,187,6,,,
1173,LS18 4,96,6,,,
1177,LS25 7,1079,6,,,
1191,S36 8,190,6,,,
1213,YO32 2,755,6,,,
1213,YO32 3,508,6,,,
1228,LS13 2,854,6,,,
1246,LS22 4,186,6,,,
1378,HD8 8,31,6,,,
1390,S73 0,824,6,,,
1461,HD7 5,288,6,,,
1476,HD9 3,673,6,,,
1483,BD4 9,28,6,,,
1492,HD9 7,21,6,,,
1552,S74 0,369,6,,,
1568,LS15 8,20,6,,,
1570,HD3 4,104,6,,,
1579,LS27 8,428,6,,,
1703,S65 3,190,6,,,
1704,HD4 6,258,6,,,
1714,LS14 6,552,6,,,
1738,HU9 5,492,6,,,
1751,LS11 8,607,6,,,
1769,LS27 0,144,6,,,
1778,HX2 6,246,6,,,
1808,YO8 9,660,6,,,
1837,BD22 0,227,6,,,
1867,HD6 4,134,6,,,
1954,HD5 8,49,6,,,
1955,LS29 0,179,6,,,
2003,S36 4,33,6,,,
2062,S64 0,96,6,,,
2097,YO24 3,149,6,,,
2120,HG2 9,318,6,,,
2157,HX7 6,346,6,,,
2219,BD2 1,679,6,,,
2253,S60 3,818,6,,,
2283,DN11 0,736,6,,,
2314,LS17 7,34,6,,,
2314,LS17 9,191,6,,,
2320,S4 8,362,6,,,
2389,WF3 4,56,6,,,
1,LS8 1,55,7,,,
30,LS6 1,414,7,,,
33,WF14 9,320,7,,,
71,LS17 9,76,7,,,
118,BD6 1,232,7,,,
129,LS18 4,92,7,,,
167,BD10 0,29,7,,,
177,BD23 5,36,7,,,
227,WF5 0,93,7,,,
255,WF1 5,79,7,,,
317,S6 6,483,7,,,
320,WF9 1,281,7,,,
345,HD6 3,599,7,,,
358,S75 4,91,7,,,
384,HU17 9,440,7,,,
412,HX6 4,168,7,,,
424,LS16 7,1006,7,,,
431,WF17 7,23,7,,,
432,HU6 9,926,7,,,
464,S8 9,303,7,,,
470,S36 2,446,7,,,
496,LS6 1,118,7,,,
499,BD9 6,620,7,,,
506,WF1 2,541,7,,,
536,S70 3,217,7,,,
599,S75 2,541,7,,,
600,S65 2,718,7,,,
604,YO30 6,93,7,,,
622,S65 4,45,7,,,
630,YO12 7,188,7,,,
632,HX6 3,411,7,,,
636,LS7 2,437,7,,,
636,LS7 3,234,7,,,
682,HX5 0,97,7,,,
685,HD9 5,454,7,,,
719,WF17 7,33,7,,,
721,LS22 7,504,7,,,
738,YO8 9,593,7,,,
749,WF4 4,137,7,,,
798,HU12 9,30,7,,,
837,BD6 2,687,7,,,
900,OL14 6,51,7,,,
909,HD2 2,461,7,,,
910,YO61 3,27,7,,,
972,S73 8,853,7,,,
982,YO12 4,1007,7,,,
1037,LS8 4,348,7,,,
1087,LS25 6,1058,7,,,
1091,WF17 6,152,7,,,
1102,S65 4,53,7,,,
1112,S66 9,27,7,,,
1120,LS9 0,98,7,,,
1124,S5 7,615,7,,,
1178,LS16 6,341,7,,,
1197,S66 8,118,7,,,
1298,HD6 4,68,7,,,
1302,S10 3,627,7,,,
1323,WF9 5,30,7,,,
1324,LS13 1,86,7,,,
1324,LS13 2,118,7,,,
1341,LS9 7,69,7,,,
1410,BD2 4,403,7,,,
1485,YO61 2,21,7,,,
1487,HD3 3,186,7,,,
1492,HD9 1,40,7,,,
1498,WF10 5,245,7,,,
1544,LS17 0,157,7,,,
1560,LS7 2,226,7,,,
1569,HD9 3,212,7,,,
1572,LS17 5,181,7,,,
1580,S5 9,222,7,,,
1638,LS17 7,809,7,,,
1640,HD9 3,347,7,,,
1663,WF17 9,46,7,,,
1809,DL8 5,27,7,,,
1824,DL8 4,24,7,,,
1857,BD10 0,21,7,,,
1859,S62 7,70,7,,,
1870,BD21 2,271,7,,,
1895,YO42 1,68,7,,,
2039,LS11 0,146,7,,,
2047,S14 1,897,7,,,
2048,HD3 4,85,7,,,
2120,HG2 0,185,7,,,
2178,YO24 4,21,7,,,
2188,S8 8,465,7,,,
2208,DN12 2,216,7,,,
2269,S26 3,72,7,,,
2299,BD6 3,265,7,,,
2309,LS8 5,273,7,,,
2316,LS16 5,834,7,,,
2318,LS17 9,25,7,,,
2321,BD6 3,583,7,,,
29,BD18 3,279,8,,,
60,BD7 3,478,8,,,
66,BD8 0,1096,8,,,
104,LS4 2,258,8,,,
140,WF8 3,80,8,,,
178,LS16 6,376,8,,,
180,HD9 1,517,8,,,
238,S73 8,333,8,,,
258,LS12 6,47,8,,,
274,HD8 9,437,8,,,
339,YO62 4,23,8,,,
342,YO23 2,27,8,,,
358,S75 5,980,8,,,
370,S66 8,305,8,,,
433,WF16 0,257,8,,,
439,S66 8,53,8,,,
445,YO31 7,110,8,,,
492,DN12 2,24,8,,,
