DMA,Date
1,13/07/2016
1,30/01/2017
1,30/01/2017
5,08/10/2016
5,14/12/2016
5,09/01/2017
7,30/07/2016
7,13/08/2016
7,22/11/2016
7,07/12/2016
7,21/12/2016
7,30/12/2016
7,15/02/2017
7,07/03/2017
8,21/11/2016
11,07/06/2016
11,05/11/2016
11,20/01/2017
12,02/06/2016
12,08/12/2016
12,15/12/2016
12,29/12/2016
12,05/01/2017
12,10/01/2017
12,18/01/2017
12,24/01/2017
14,21/10/2016
14,10/11/2016
15,21/11/2016
15,11/01/2017
15,17/01/2017
16,08/10/2016
17,19/05/2016
17,27/06/2016
17,18/07/2016
17,02/08/2016
17,03/08/2016
17,28/10/2016
17,28/12/2016
17,04/01/2017
17,23/01/2017
17,07/02/2017
17,15/02/2017
17,17/02/2017
17,23/03/2017
17,30/03/2017
19,31/12/2016
19,05/02/2017
21,30/11/2016
21,05/12/2016
21,06/01/2017
21,11/01/2017
21,26/02/2017
22,29/08/2016
23,21/12/2016
24,28/11/2016
24,29/11/2016
24,30/11/2016
24,22/12/2016
26,02/03/2017
27,10/09/2016
27,26/09/2016
29,26/07/2016
29,28/07/2016
29,15/11/2016
29,01/12/2016
29,10/01/2017
30,28/01/2017
31,23/10/2016
31,19/11/2016
31,29/11/2016
31,17/01/2017
31,11/03/2017
32,08/12/2016
32,18/01/2017
33,14/09/2016
39,21/12/2016
40,05/05/2016
41,21/06/2016
41,04/08/2016
41,17/09/2016
41,29/12/2016
41,30/01/2017
43,13/08/2016
43,10/11/2016
43,19/01/2017
48,05/07/2016
48,06/12/2016
48,06/01/2017
49,18/07/2016
49,13/09/2016
49,08/12/2016
49,02/03/2017
50,28/07/2016
50,06/10/2016
51,12/08/2016
56,12/07/2016
56,10/11/2016
56,06/12/2016
59,07/04/2016
59,04/05/2016
59,06/06/2016
59,22/07/2016
59,13/09/2016
59,09/11/2016
59,18/11/2016
59,02/02/2017
59,11/02/2017
59,03/03/2017
59,04/03/2017
60,16/08/2016
60,21/03/2017
63,22/09/2016
63,08/02/2017
64,21/05/2016
64,27/09/2016
64,17/11/2016
64,24/11/2016
64,16/12/2016
64,12/01/2017
64,18/01/2017
64,19/01/2017
65,25/05/2016
65,08/06/2016
65,14/06/2016
65,30/06/2016
65,09/08/2016
65,18/09/2016
65,21/09/2016
65,01/11/2016
65,07/11/2016
65,01/12/2016
65,14/12/2016
65,27/12/2016
65,29/12/2016
65,10/02/2017
65,22/02/2017
65,01/03/2017
66,13/08/2016
66,25/10/2016
66,26/10/2016
66,11/01/2017
67,20/06/2016
68,20/06/2016
68,29/06/2016
68,23/07/2016
68,24/07/2016
68,18/08/2016
68,17/10/2016
68,17/10/2016
68,03/11/2016
68,16/11/2016
68,08/02/2017
68,16/02/2017
69,08/01/2017
69,28/03/2017
70,30/01/2017
70,02/02/2017
72,01/07/2016
73,02/11/2016
73,05/02/2017
74,01/11/2016
75,13/08/2016
76,29/11/2016
77,28/07/2016
77,09/11/2016
77,28/12/2016
78,18/04/2016
78,30/07/2016
78,30/11/2016
78,01/12/2016
78,05/12/2016
78,07/12/2016
78,03/01/2017
78,18/01/2017
78,30/01/2017
78,30/01/2017
78,22/02/2017
78,29/03/2017
79,28/06/2016
79,25/08/2016
80,05/04/2016
80,11/04/2016
80,31/10/2016
80,12/12/2016
80,20/01/2017
80,18/02/2017
82,27/07/2016
82,02/08/2016
82,12/11/2016
82,18/11/2016
84,24/09/2016
84,26/01/2017
85,21/01/2017
85,03/02/2017
90,21/07/2016
90,23/11/2016
90,21/12/2016
90,31/01/2017
90,22/02/2017
92,20/08/2016
92,06/12/2016
92,28/03/2017
94,13/11/2016
95,21/09/2016
95,21/09/2016
95,12/11/2016
97,29/04/2016
97,03/11/2016
97,05/11/2016
97,16/11/2016
97,09/12/2016
97,10/02/2017
97,28/03/2017
98,22/04/2016
98,06/07/2016
98,29/11/2016
98,04/12/2016
100,23/06/2016
100,17/08/2016
100,17/10/2016
100,24/11/2016
100,13/02/2017
102,02/08/2016
102,15/11/2016
103,13/04/2016
103,19/04/2016
103,06/07/2016
103,22/12/2016
104,02/06/2016
105,24/11/2016
105,09/12/2016
105,14/01/2017
105,19/01/2017
105,18/02/2017
106,28/07/2016
106,18/08/2016
106,25/11/2016
106,19/01/2017
109,10/04/2016
109,06/02/2017
110,24/11/2016
110,23/03/2017
111,11/11/2016
111,08/01/2017
111,25/01/2017
114,16/06/2016
114,10/08/2016
114,16/08/2016
114,21/08/2016
114,30/09/2016
114,02/01/2017
116,14/02/2017
117,13/09/2016
117,13/09/2016
119,07/11/2016
120,21/07/2016
120,08/08/2016
120,12/11/2016
121,10/06/2016
121,26/09/2016
121,08/10/2016
121,13/12/2016
122,04/04/2016
122,20/04/2016
122,02/06/2016
122,02/12/2016
122,07/12/2016
122,08/12/2016
122,04/02/2017
126,27/07/2016
126,29/09/2016
126,03/10/2016
126,05/11/2016
126,15/12/2016
126,18/01/2017
126,01/02/2017
126,16/03/2017
129,12/11/2016
129,09/12/2016
129,12/02/2017
130,03/10/2016
130,09/01/2017
130,26/01/2017
130,28/01/2017
130,26/03/2017
131,03/12/2016
131,22/12/2016
131,13/01/2017
134,13/05/2016
134,29/12/2016
135,17/11/2016
135,09/12/2016
135,14/01/2017
135,25/01/2017
136,19/04/2016
136,07/09/2016
136,02/02/2017
136,08/02/2017
138,30/01/2017
139,06/10/2016
141,08/01/2017
141,19/01/2017
143,31/03/2017
144,20/04/2016
144,20/04/2016
144,29/06/2016
144,14/10/2016
144,08/02/2017
146,16/08/2016
146,04/01/2017
147,05/05/2016
150,15/05/2016
150,16/08/2016
151,30/11/2016
151,30/12/2016
152,14/04/2016
152,28/06/2016
152,03/11/2016
152,28/12/2016
152,31/12/2016
152,01/01/2017
153,26/06/2016
153,04/08/2016
153,30/11/2016
153,24/01/2017
155,19/05/2016
156,25/08/2016
159,05/05/2016
159,30/03/2017
160,20/01/2017
162,12/01/2017
163,06/05/2016
163,08/05/2016
163,30/07/2016
163,01/08/2016
163,02/08/2016
163,25/12/2016
165,29/06/2016
165,13/09/2016
166,15/12/2016
168,02/01/2017
168,08/02/2017
168,07/03/2017
168,08/03/2017
170,02/09/2016
170,24/09/2016
170,06/10/2016
170,05/11/2016
170,01/12/2016
170,21/01/2017
170,31/03/2017
171,21/07/2016
172,05/10/2016
173,12/10/2016
173,12/10/2016
173,31/03/2017
174,09/01/2017
175,05/10/2016
175,07/12/2016
175,22/12/2016
175,01/03/2017
176,18/11/2016
181,06/06/2016
181,08/10/2016
181,04/01/2017
181,28/01/2017
181,21/02/2017
181,02/03/2017
181,12/03/2017
181,27/03/2017
182,23/02/2017
182,01/03/2017
182,20/03/2017
184,03/03/2017
184,10/03/2017
186,25/09/2016
186,28/09/2016
186,16/01/2017
188,23/08/2016
188,13/12/2016
188,17/02/2017
188,06/03/2017
189,07/01/2017
189,10/01/2017
190,01/01/2017
192,18/11/2016
192,08/02/2017
193,18/05/2016
193,27/05/2016
193,06/06/2016
193,21/09/2016
194,27/05/2016
194,17/11/2016
194,20/11/2016
194,20/11/2016
195,30/01/2017
196,12/10/2016
196,14/10/2016
196,30/11/2016
196,01/12/2016
196,29/12/2016
196,18/01/2017
197,08/07/2016
198,29/07/2016
198,12/09/2016
198,27/09/2016
198,16/11/2016
198,10/01/2017
200,19/05/2016
200,03/06/2016
200,10/08/2016
200,30/03/2017
200,30/03/2017
201,08/07/2016
201,31/12/2016
201,18/01/2017
201,20/01/2017
201,29/01/2017
201,03/02/2017
203,24/11/2016
203,28/11/2016
203,12/01/2017
204,12/04/2016
204,10/11/2016
204,23/02/2017
205,28/04/2016
205,15/10/2016
205,15/10/2016
206,07/06/2016
206,20/09/2016
206,21/09/2016
206,10/10/2016
206,09/11/2016
206,14/11/2016
206,09/12/2016
206,09/03/2017
206,29/03/2017
208,07/06/2016
208,05/09/2016
209,05/11/2016
209,08/11/2016
209,16/01/2017
209,24/01/2017
214,12/10/2016
215,04/01/2017
216,22/06/2016
218,03/06/2016
218,07/01/2017
219,21/04/2016
221,01/06/2016
221,21/07/2016
222,14/09/2016
222,03/11/2016
222,23/11/2016
222,08/12/2016
222,19/12/2016
222,02/01/2017
222,05/01/2017
222,09/01/2017
222,10/01/2017
222,14/02/2017
222,16/02/2017
224,03/09/2016
224,24/09/2016
224,09/11/2016
224,11/11/2016
224,12/11/2016
224,08/02/2017
224,10/02/2017
224,16/02/2017
225,08/04/2016
225,25/07/2016
225,04/08/2016
225,17/08/2016
225,24/08/2016
225,26/08/2016
225,26/08/2016
225,29/08/2016
225,03/10/2016
225,12/11/2016
225,08/01/2017
225,27/01/2017
226,22/04/2016
227,12/11/2016
228,31/05/2016
228,17/11/2016
228,17/11/2016
228,09/01/2017
228,10/01/2017
228,10/01/2017
228,16/01/2017
228,19/01/2017
230,03/07/2016
230,13/07/2016
230,17/07/2016
230,30/09/2016
230,18/11/2016
231,17/11/2016
231,07/12/2016
232,15/06/2016
234,29/07/2016
234,10/10/2016
234,17/11/2016
235,29/06/2016
235,03/08/2016
235,30/01/2017
236,10/11/2016
236,29/11/2016
236,07/12/2016
238,01/04/2016
238,16/01/2017
240,15/03/2017
241,02/09/2016
241,17/02/2017
241,31/03/2017
241,31/03/2017
243,07/02/2017
243,08/02/2017
243,17/02/2017
244,08/06/2016
244,19/10/2016
246,07/10/2016
247,17/01/2017
248,30/09/2016
250,12/09/2016
250,16/02/2017
251,02/08/2016
251,08/01/2017
251,23/02/2017
252,03/01/2017
252,21/02/2017
253,17/05/2016
253,31/05/2016
253,11/09/2016
254,20/07/2016
254,27/08/2016
255,22/11/2016
256,15/10/2016
257,21/09/2016
258,06/05/2016
258,09/05/2016
258,12/05/2016
258,28/03/2017
259,22/06/2016
259,19/07/2016
259,22/11/2016
260,10/10/2016
260,28/11/2016
260,23/12/2016
261,19/05/2016
261,11/07/2016
261,21/07/2016
261,03/11/2016
261,19/11/2016
261,24/11/2016
261,10/02/2017
262,16/05/2016
262,04/10/2016
262,16/12/2016
262,03/02/2017
262,12/02/2017
262,03/03/2017
263,07/10/2016
264,20/04/2016
264,19/08/2016
266,08/11/2016
266,22/11/2016
266,30/12/2016
269,12/04/2016
269,23/04/2016
269,12/11/2016
269,01/02/2017
270,12/07/2016
270,17/08/2016
270,27/11/2016
272,12/04/2016
272,23/12/2016
272,15/01/2017
274,23/04/2016
275,31/08/2016
277,13/10/2016
277,13/10/2016
278,05/04/2016
278,08/11/2016
279,23/11/2016
280,15/05/2016
280,22/09/2016
280,20/11/2016
280,25/03/2017
283,25/02/2017
285,16/06/2016
285,04/08/2016
285,25/08/2016
285,16/11/2016
286,22/04/2016
286,05/12/2016
291,02/08/2016
291,14/10/2016
293,16/01/2017
295,12/12/2016
295,06/01/2017
297,23/11/2016
298,06/05/2016
298,08/12/2016
298,23/12/2016
299,01/04/2016
299,30/11/2016
299,16/01/2017
300,13/04/2016
300,29/10/2016
300,30/12/2016
300,02/02/2017
300,20/03/2017
302,24/06/2016
302,14/09/2016
302,06/11/2016
302,29/11/2016
302,28/01/2017
302,28/01/2017
303,09/05/2016
303,14/08/2016
303,28/10/2016
303,28/02/2017
304,26/01/2017
305,18/10/2016
305,08/12/2016
306,19/11/2016
307,22/07/2016
307,22/12/2016
307,31/12/2016
309,12/09/2016
310,04/07/2016
310,29/07/2016
310,18/08/2016
311,15/06/2016
311,08/11/2016
311,22/11/2016
311,13/03/2017
313,12/11/2016
313,25/11/2016
313,28/02/2017
313,02/03/2017
313,05/03/2017
313,12/03/2017
313,22/03/2017
315,11/12/2016
315,26/12/2016
315,30/01/2017
315,10/02/2017
317,21/06/2016
318,15/07/2016
318,09/11/2016
318,29/12/2016
318,29/12/2016
318,14/02/2017
319,27/05/2016
320,18/04/2016
320,05/05/2016
322,09/06/2016
322,25/10/2016
322,29/10/2016
322,17/11/2016
322,01/01/2017
322,16/01/2017
323,27/06/2016
323,29/09/2016
323,10/10/2016
323,20/01/2017
325,09/06/2016
326,04/04/2016
326,04/11/2016
326,17/11/2016
326,13/12/2016
326,30/12/2016
326,25/01/2017
327,10/06/2016
327,21/12/2016
328,17/08/2016
328,19/12/2016
330,23/08/2016
330,08/10/2016
330,04/12/2016
330,01/02/2017
330,13/02/2017
330,23/03/2017
331,28/12/2016
332,03/01/2017
333,02/02/2017
334,31/10/2016
334,06/11/2016
334,09/01/2017
334,08/03/2017
335,14/05/2016
335,18/07/2016
335,04/08/2016
335,08/01/2017
335,18/01/2017
335,18/01/2017
335,25/01/2017
335,08/02/2017
336,01/07/2016
336,04/11/2016
336,22/11/2016
336,09/03/2017
336,11/03/2017
336,29/03/2017
337,27/08/2016
337,08/01/2017
338,21/10/2016
338,20/11/2016
339,17/01/2017
339,07/02/2017
340,27/08/2016
342,04/05/2016
342,23/06/2016
342,13/08/2016
342,06/12/2016
342,03/01/2017
343,28/02/2017
344,13/11/2016
345,13/06/2016
345,15/10/2016
345,30/11/2016
346,04/07/2016
346,17/11/2016
346,30/03/2017
347,27/12/2016
348,19/08/2016
348,23/12/2016
349,15/06/2016
349,17/08/2016
350,20/07/2016
350,05/09/2016
350,02/11/2016
352,09/10/2016
355,05/05/2016
355,14/10/2016
355,03/11/2016
355,27/03/2017
357,10/08/2016
357,22/08/2016
357,06/12/2016
357,09/12/2016
357,26/01/2017
358,31/05/2016
358,05/11/2016
358,10/11/2016
358,26/11/2016
358,17/02/2017
360,16/09/2016
360,30/01/2017
363,15/04/2016
363,14/05/2016
363,09/11/2016
363,25/01/2017
364,04/05/2016
364,10/03/2017
365,03/12/2016
365,05/02/2017
365,07/02/2017
365,16/02/2017
366,19/05/2016
366,16/06/2016
366,22/08/2016
366,31/08/2016
366,02/09/2016
366,26/10/2016
366,04/11/2016
367,04/05/2016
367,22/09/2016
367,09/10/2016
367,06/12/2016
368,12/04/2016
368,27/08/2016
368,27/01/2017
368,09/02/2017
368,20/02/2017
369,02/01/2017
369,04/03/2017
372,16/07/2016
372,06/09/2016
372,10/11/2016
372,02/02/2017
372,20/03/2017
373,13/04/2016
373,16/01/2017
376,10/06/2016
376,21/07/2016
376,06/12/2016
377,30/11/2016
378,28/10/2016
